model,fold,seed,train_wall_clock_s,soh_rmse,soh_mae,soh_mape,soc_rmse,soc_mae,soc_mape,rul_rmse,rul_mae,rul_mape,rt_corr_post_rest
RandomForest,B0007,43,0.7340000000040163,0.026810728747253963,0.021859080470897796,2.576335570848388,,,,,,,
RandomForest,B0007,44,0.6560000000026776,0.027259571006096765,0.021638060515234456,2.5400997404513155,,,,,,,
XGBoost,B0007,42,0.6869999999980791,0.02537254076337599,0.021315689114660134,2.537214343482787,,,,,,,
XGBoost,B0007,43,0.5780000000013388,0.02294450978263522,0.01662829861987256,1.9193099349281917,,,,,,,
XGBoost,B0007,44,0.4530000000013388,0.02208710263442238,0.016924566770292318,1.9697385685295352,,,,,,,
VanillaLSTM,B0007,42,4.25,0.040853934910727,0.024824225260165388,2.8741295875981803,,,,,,,
VanillaLSTM,B0007,43,4.1560000000026776,0.04396162758022273,0.029304656698516493,3.427842892066512,,,,,,,
VanillaLSTM,B0007,44,4.109000000004016,0.07072384669351924,0.0576178639632823,6.875126020088075,,,,,,,
StatDecomp,B0007,42,0.0,0.11152159883258149,0.0899287610448238,10.36470362180813,,,,,,,
StatDecomp,B0007,43,0.0,0.11152159883258149,0.0899287610448238,10.36470362180813,,,,,,,
StatDecomp,B0007,44,0.0,0.11152159883258149,0.0899287610448238,10.36470362180813,,,,,,,
PI-MDCNet,B0007,42,4.875,0.07176623304220583,0.061085620422739004,7.895616173726601,,,,,,,-0.20390690489866403
PI-MDCNet,B0007,43,4.2189999999973224,0.06729661171000834,0.05578800337847246,7.231371002475681,,,,,,,0.56010925628696
PI-MDCNet,B0007,44,4.485000000000582,0.028746361423225255,0.023107260590049455,2.885559879816643,,,,,,,0.7282733523811917
CoulombCounting,B0018,42,0.0,,,,,,,,,,
CoulombCounting,B0018,43,0.0,,,,,,,,,,
CoulombCounting,B0018,44,0.0,,,,,,,,,,
EKF_1RC,B0018,42,0.0,,,,,,,,,,
EKF_1RC,B0018,43,0.0,,,,,,,,,,
EKF_1RC,B0018,44,0.0,,,,,,,,,,
RandomForest,B0018,42,0.43800000000192085,0.028115454467115514,0.02195898020693065,3.0430037178845932,,,,24.43862664013305,20.225495761183257,155.84680180719263,
RandomForest,B0018,43,0.4530000000013388,0.0286752236358894,0.02209141819484777,3.0694653182095863,,,,25.24438655921559,20.811823863636363,158.39966251102976,
RandomForest,B0018,44,0.43800000000192085,0.027704399131834062,0.021396648232152492,2.9677345337003325,,,,24.990809859669785,20.567422438672438,156.98652020588213,
XGBoost,B0018,42,0.34399999999732245,0.03462666492955583,0.02776579969871376,3.8356762037652508,,,,24.680916923082325,20.370591452627473,158.66150266398859,
XGBoost,B0018,43,0.43800000000192085,0.029710488377259637,0.02498562028680987,3.410268684599347,,,,24.2932684600112,20.366959817481764,158.10534029930298,
XGBoost,B0018,44,0.34399999999732245,0.03417920730758023,0.028180123741641888,3.870258721699672,,,,24.031210475879586,19.938330751476865,150.86494347066662,
VanillaLSTM,B0018,42,3.9219999999986612,0.03549202163677855,0.031107401254248934,4.0769671505213125,,,,,,,
VanillaLSTM,B0018,43,3.9839999999967404,0.04953622377476867,0.04479431212477299,6.015175637546783,,,,,,,
VanillaLSTM,B0018,44,3.938000000001921,0.05716183954717731,0.05279021646334598,7.027414623436022,,,,,,,
StatDecomp,B0018,42,0.0,0.09885684942299759,0.08580648481191247,11.480087830510865,,,,,,,
StatDecomp,B0018,43,0.0,0.09885684942299759,0.08580648481191247,11.480087830510865,,,,,,,
StatDecomp,B0018,44,0.0,0.09885684942299759,0.08580648481191247,11.480087830510865,,,,,,,
PI-MDCNet,B0018,42,3.8590000000040163,0.05342702997568687,0.04789802410673113,6.014639232627507,,,,36.214275730132265,26.716215354926657,77.58315370382068,
PI-MDCNet,B0018,43,3.5780000000013388,0.049288191660452556,0.044670974035522865,5.62801815385912,,,,38.19488876728678,27.880514574773382,77.8478894113774,
PI-MDCNet,B0018,44,3.389999999999418,0.054006745487834885,0.04580142059307603,5.833513079865953,,,,38.23905543380847,27.694376235997137,74.50213032615224,
