variant,fold,seed,wall_clock_s,is_damage_monotonic,max_monotonicity_violation,soh_rmse,soh_mae,soh_mape,soc_rmse,soc_mae,soc_mape,rul_rmse,rul_mae,rul_mape
Full_SLAC,B0005,42,8.125,True,0.0009877681732177734,0.05163882078870327,0.03760277183868429,5.140734223592996,,,,49.91542741889003,35.72072089969197,71.46241180645137
Full_SLAC,B0005,43,6.89100000000326,True,0.0012364313006401062,0.04613285316691874,0.0355980605476644,4.779561066517185,,,,51.82935073109384,37.090181006254774,74.51129264341108
Full_SLAC,B0005,44,6.9689999999973224,True,0.0011377409100532532,0.0502461019622822,0.03688076115207452,5.019083002068449,,,,52.07333565754361,37.612971684737765,75.52614264235572
Full_SLAC,B0006,42,7.25,True,0.000462166965007782,0.06679784626008824,0.05246200355045644,7.553892967320664,,,,38.82687260498255,26.29454707320145,76.63576937388729
Full_SLAC,B0006,43,6.047000000005937,True,0.0008198469877243042,0.07865061256048159,0.05779467001051234,8.519094152738308,,,,41.00330731079089,27.610406799644394,76.5295756834223
Full_SLAC,B0006,44,4.0789999999979045,True,0.000626489520072937,0.0690575246348254,0.05263546036707526,7.637676437922619,,,,41.001687906957294,28.238685635761136,77.53936552126365
Full_SLAC,B0007,42,4.23399999999674,True,0.0018033534288406372,0.07176623304220583,0.061085620422739004,7.895616173726601,,,,,,
Full_SLAC,B0007,43,4.25,True,0.0020494312047958374,0.06729661171000834,0.05578800337847246,7.231371002475681,,,,,,
Full_SLAC,B0007,44,4.046999999998661,True,0.0016833916306495667,0.028746361423225255,0.023107260590049455,2.885559879816643,,,,,,
Full_SLAC,B0018,42,4.514999999999418,True,0.00179262924939394,0.05342702997568687,0.04789802410673113,6.014639232627507,,,,36.214275730132265,26.716215354926657,77.58315370382068
Full_SLAC,B0018,43,3.625,True,0.0018596528097987175,0.049288191660452556,0.044670974035522865,5.62801815385912,,,,38.19488876728678,27.880514574773382,77.8478894113774
Full_SLAC,B0018,44,3.9530000000013388,True,0.00174686498939991,0.054006745487834885,0.04580142059307603,5.833513079865953,,,,38.23905543380847,27.694376235997137,74.50213032615224
